Hours of Study,Number of Projects Completed,Passed
6.089415887862297,2,Yes
5.781796252327016,1,Yes
7.384066364409703,1,Yes
9.937085416767328,5,No
2.1473780942545986,1,No
5.41820164624958,1,No
1.5936946922910233,0,Yes
9.464638562803643,0,Yes
9.54476976112176,4,Yes
0.47844077476241975,4,No
0.785664730623622,2,No
5.639308518769395,4,No
8.223305918551972,3,Yes
5.960254904653583,5,Yes
0.5877218109134963,4,No
7.495975189594041,2,Yes
1.654722949616414,0,Yes
4.998826628778348,3,Yes
0.3457250759891417,5,Yes
1.5832764750406358,3,No
5.1632691609472765,1,Yes
6.860848560767186,0,Yes
3.0746986889145047,1,Yes
3.4267190628354074,2,Yes
5.019661762989006,2,Yes
8.62698232724427,4,Yes
7.969409437646025,5,No
9.617260547747959,4,Yes
2.2753280595092775,5,No
0.2658303044795185,5,No
7.227636985423683,4,No
5.293565105489434,4,No
6.444180655562441,5,Yes
4.140440610978244,0,No
4.209413080556656,1,No
5.350076849196791,3,Yes
0.6868021096154697,5,No
8.756699298208115,1,Yes
7.65983179529722,2,No
6.0699705359553615,4,Yes
0.6191296484502462,4,No
5.440785684889578,4,Yes
4.823982368144218,3,No
8.162507271209957,4,Yes
2.478912450193337,5,Yes
1.410021631851669,0,No
0.06080559505813099,5,Yes
8.16221628728236,0,Yes
2.6358529782971507,0,Yes
2.3597986212574487,5,Yes
0.2962856828676075,5,Yes
0.25187596293703374,5,Yes
5.142994157778803,2,Yes
2.072260381306771,0,Yes
7.05793767626545,4,No
6.922849818209138,2,No
9.291397865740246,2,No
8.068323389912338,1,Yes
2.153726961059271,3,Yes
3.8955115455625657,2,Yes
8.14570748320435,4,No
1.0404115026690586,3,Yes
0.6370330109872269,4,No
8.185248105504431,5,No
3.856648405310421,2,No
0.6271527850856029,3,Yes
7.0169537437268845,3,No
2.304511534870426,0,Yes
3.354961362818758,2,Yes
6.363834686168489,4,No
3.3952329919753987,3,No
5.591210187777246,1,No
4.750193104937561,3,Yes
7.462850594555379,3,No
5.1690382180946735,3,Yes
0.6245948399133039,4,Yes
4.664602881868211,5,Yes
1.984388485333476,5,No
0.08395039634070622,2,No
5.174652372018317,5,Yes
6.8563686247663815,4,Yes
4.508164447502682,5,No
8.368590636827607,2,Yes
9.229234474825645,2,Yes
9.299385808689408,2,Yes
7.3583935201441,2,Yes
6.548431674137626,0,No
8.145505869350684,4,Yes
6.44259314902069,5,Yes
7.160099138954056,4,Yes
1.9359457483476084,1,Yes
1.577010003740702,2,Yes
9.850371216643545,4,No
5.490212483921269,2,Yes
2.6569248703941306,4,No
2.357235554214271,5,No
3.549618212356852,0,Yes
9.210730082440534,2,Yes
1.190982284207266,1,No
5.442187656006656,2,Yes
